combination,val_loss,timestamp,HIDDEN_DIM,DROPOUT,EMBEDDING_DROPOUT,LR,MARGIN,BATCH_SIZE
1,0.2669490786890189,2025-06-19T15:38:11.093384,256,0.1,0.15,0.003,0.3,512
2,0.48354533563057583,2025-06-19T15:41:41.604576,384,0.15,0.05,0.005,0.5,512
3,0.6903688212235769,2025-06-19T15:45:14.114865,512,0.2,0.1,0.003,0.7,512
4,0.2810836484034856,2025-06-19T15:47:43.761832,512,0.2,0.1,0.003,0.3,1024
5,0.6760339339574178,2025-06-19T15:50:30.150709,384,0.2,0.05,0.005,0.7,2048
6,0.286461241543293,2025-06-19T15:54:05.878430,384,0.15,0.15,0.003,0.3,512
7,0.6697877844174703,2025-06-19T16:01:02.953487,512,0.15,0.1,0.003,0.7,2048
8,0.29954137404759723,2025-06-19T16:04:33.862599,384,0.15,0.05,0.007,0.3,512
9,0.2845411499341329,2025-06-19T16:06:30.099645,384,0.1,0.15,0.003,0.3,1024
10,0.6897362073262533,2025-06-19T16:10:04.089725,384,0.1,0.15,0.007,0.7,2048
11,0.6077015548944473,2025-06-19T16:13:35.090440,256,0.15,0.05,0.003,0.7,512
12,0.30016999691724777,2025-06-19T16:17:06.481612,512,0.2,0.1,0.007,0.3,512
